customer_id,name,email,address,phone_number,registration_date
e3e70682-c209-4cac-a29f-6fbed82c07cd,David Dixon,thull@example.com,"242 Christine Glen
West Corey, CA 90152",278-215-6593x87784,2020-06-13
d3290a4c-b5d3-4b16-a619-4cb1d71037d1,Lori Salazar,john51@example.org,"PSC 3328, Box 7115
APO AP 64632",648-941-8583,2020-06-10
935ddd72-5129-4b7c-a288-e1a5cc457821,Clinton Underwood,salazardiane@example.com,"01868 Boyd Freeway
Lake Brittany, MT 76482",577-251-5917x953,2023-07-16
5f3f5638-3870-4a14-b490-b6081dfc8352,Faith Cabrera,loganmelissa@example.org,"13991 Davis Village
North Catherineborough, HI 94625",673-300-8691,2021-01-25
6fa231e9-59ac-4d98-8d12-5e7fa59cec98,Jonathan Williams,lyonspeter@example.com,"230 Megan Junctions Suite 197
North Thomas, MT 75095",445.564.2807x15084,2023-09-08
49b25ded-9c31-49b2-9a2b-745b7b59051b,Leslie Mcclain,jenniferhughes@example.com,"93523 Dana Lane
Johnsonshire, MT 87296",001-202-271-4278x789,2022-05-23
0cc36d8c-7786-4fe5-9675-ebf74fe30c9a,Sheri Burnett,amymccarty@example.org,"66503 Jennifer Alley
East Davidborough, VI 40139",721-376-1047x142,2024-03-20
0ad40415-04c1-4982-99ea-d9264745dd9e,Michael Grant,sheena09@example.net,"658 Jared Radial Suite 022
Mathewstad, VT 12783",390-904-2294x56824,2023-07-14
2df96747-4ed1-4553-8c5a-876fef0a81ed,Monica Turner,kevin11@example.net,"PSC 7551, Box 7176
APO AE 40072",822-696-1113x30601,2022-03-03
b6e355f6-95bb-440d-89cd-4af97d161f29,Jenny Richardson,brenda26@example.org,"087 David Locks
Jaredton, AS 28798",+1-421-837-6582x197,2023-02-01
7ed2ec2f-856f-4d95-a0ae-1a1b6c596216,Stacy Bass,mreid@example.net,"55508 Nancy Rapids
Port Nicholas, LA 94627",001-971-718-0132x040,2024-03-02
a7f5195c-de62-443f-a619-08b9ccf719ab,Jacob Reyes,berryerika@example.net,"634 Petersen Orchard
Lawsonbury, PR 03185",+1-802-248-9451x74466,2020-10-16
497e9f1a-3d2b-4042-a098-18d1ef7e85ec,Felicia Mcmahon,fbutler@example.net,"6097 Ellis Courts
Osbornetown, AZ 78921",+1-925-718-5367x109,2023-02-23
9f3dd894-b6af-48b2-aeba-42d0f8303249,Samuel Mullen,vlloyd@example.net,"Unit 1830 Box 6753
DPO AA 47235",+1-810-607-4089x9331,2024-07-28
90e639e1-e44f-43a9-ad0c-62c3254bf7ae,Bradley Garcia,garciakim@example.net,"USCGC Jordan
FPO AA 04450",554.715.1150x5520,2020-05-04
